,PUBMEDID,TITLE,AUTHORS,PUBICATION,PUBDATE,PUBYEAR
1807,18667219,[Multiple phenotypic manifestations of X-linked spinobulbar muscular atrophy].,"Vandenberghe N, Bouhour F, Petiot P, Gonnaud PM, Latour P, Broussolle E, Vial C.",Rev Neurol (Paris). 2009 Jan;165(1):31-7. doi: 10.1016/j.neurol.2008.06.005. Epub 2008 Jul 29. French.,8/1/2008,2008
1810,18683139,[The advances in research on phosphorylation of polyglutamine disease].,"Zhou YF, Jiang H, Tang JG, Tang BS.",Zhonghua Yi Xue Yi Chuan Xue Za Zhi. 2008 Aug;25(4):414-7. Review. Chinese.,8/7/2008,2008
1813,18686649,Kennedy disease mimics amyotrophic lateral sclerosis: a case report.,"Fu MH, Lan MY, Liu JS, Lai SL, Chen SS, Chang YY.",Acta Neurol Taiwan. 2008 Jun;17(2):99-103.,8/9/2008,2008
1816,18701582,Combined 3T diffusion tensor tractography and 1H-MR spectroscopy in motor neuron disease.,"Nelles M, Block W, Träber F, Wüllner U, Schild HH, Urbach H.",AJNR Am J Neuroradiol. 2008 Oct;29(9):1708-14. doi: 10.3174/ajnr.A1201. Epub 2008 Aug 13.,8/15/2008,2008
1819,18752296,A human spinal cord cell promotes motoneuron survival and maturation in vitro.,"Rouleau C, Mersel M, de Weille J, Rakotoarivelo C, Fabre C, Privat A, Langley K, Petite D.",J Neurosci Res. 2009 Jan;87(1):50-60. doi: 10.1002/jnr.21835.,8/30/2008,2008
1822,18762554,Consequences of poly-glutamine repeat length for the conformation and folding of the androgen receptor amino-terminal domain.,"Davies P, Watt K, Kelly SM, Clark C, Price NC, McEwan IJ.",J Mol Endocrinol. 2008 Nov;41(5):301-14. doi: 10.1677/JME-08-0042. Epub 2008 Sep 1.,9/3/2008,2008
1825,18776683,RNA-binding protein hoip accelerates polyQ-induced neurodegeneration in Drosophila.,"Murata T, Suzuki E, Ito S, Sawatsubashi S, Zhao Y, Yamagata K, Tanabe M, Fujiyama S, Kimura S, Ueda T, Matsukawa H, Kouzmenko A, Furutani T, Kuranaga E, Miura M, Takeyama K, Kato S.",Biosci Biotechnol Biochem. 2008 Sep;72(9):2255-61. Epub 2008 Sep 7.,9/9/2008,2008
1829,18775514,Spinal and bulbar muscular atrophy: a motoneuron or muscle disease?,"Jordan CL, Lieberman AP.",Curr Opin Pharmacol. 2008 Dec;8(6):752-8. doi: 10.1016/j.coph.2008.08.006. Epub 2008 Sep 18. Review.,9/9/2008,2008
1833,18784277,CHIP deletion reveals functional redundancy of E3 ligases in promoting degradation of both signaling proteins and expanded glutamine proteins.,"Morishima Y, Wang AM, Yu Z, Pratt WB, Osawa Y, Lieberman AP.",Hum Mol Genet. 2008 Dec 15;17(24):3942-52. doi: 10.1093/hmg/ddn296. Epub 2008 Sep 10.,9/12/2008,2008
1836,18808893,Chapter 8 Spinobulbar muscular atrophy (Kennedy's disease).,"Gallo JM, Leigh PN.",Handb Clin Neurol. 2007;82:155-69. doi: 10.1016/S0072-9752(07)80011-X. No abstract available.,9/24/2008,2008
1839,18808900,Chapter 15 Juvenile amyotrophic lateral sclerosis.,"Orban P, Devon RS, Hayden MR, Leavitt BR.",Handb Clin Neurol. 2007;82:301-12. doi: 10.1016/S0072-9752(07)80018-2.,9/24/2008,2008
1843,18824496,Mitochondrial abnormalities in spinal and bulbar muscular atrophy.,"Ranganathan S, Harmison GG, Meyertholen K, Pennuto M, Burnett BG, Fischbeck KH.",Hum Mol Genet. 2009 Jan 1;18(1):27-42. doi: 10.1093/hmg/ddn310. Epub 2008 Sep 29.,10/1/2008,2008
1846,18844449,N-terminal polyglutamine-containing fragments inhibit androgen receptor transactivation function.,"Schiffer NW, Céraline J, Hartl FU, Broadley SA.",Biol Chem. 2008 Dec;389(12):1455-66. doi: 10.1515/BC.2008.169.,10/11/2008,2008
1849,18923000,Androgen receptor knockout and knock-in mouse models.,"Kerkhofs S, Denayer S, Haelens A, Claessens F.",J Mol Endocrinol. 2009 Jan;42(1):11-7. doi: 10.1677/JME-08-0122. Epub 2008 Oct 15. Review.,10/17/2008,2008
1852,19019384,Proton magnetic resonance spectroscopy in Kennedy disease.,"Lee CH, Lai PH, Liu CS, Li JY.",J Neurol Sci. 2009 Feb 15;277(1-2):71-5. doi: 10.1016/j.jns.2008.10.011. Epub 2008 Nov 18.,11/21/2008,2008
1855,19066230,17-DMAG ameliorates polyglutamine-mediated motor neuron degeneration through well-preserved proteasome function in an SBMA model mouse.,"Tokui K, Adachi H, Waza M, Katsuno M, Minamiyama M, Doi H, Tanaka K, Hamazaki J, Murata S, Tanaka F, Sobue G.",Hum Mol Genet. 2009 Mar 1;18(5):898-910. doi: 10.1093/hmg/ddn419. Epub 2008 Dec 9.,12/11/2008,2008
1858,19080453,[Test of sensory nerve in patients with Kennedy disease].,"Xu YS, Zhang J, Lu M, Zheng JY, Zhang S, Kang DX, Fan DS.",Zhonghua Yi Xue Za Zhi. 2008 Oct 28;88(39):2771-4. Chinese.,12/17/2008,2008
1861,19087153,Muscular fatigue and decremental response to repetitive nerve stimulation in X-linked spinobulbar muscular atrophy.,"Inoue K, Hemmi S, Miyaishi M, Kutoku Y, Murakami T, Kurokawa K, Sunada Y.",Eur J Neurol. 2009 Jan;16(1):76-80. doi: 10.1111/j.1468-1331.2008.02349.x.,12/18/2008,2008
1864,19100835,Androgens inhibit androgen receptor promoter activation in motor neurons.,"Vismara G, Simonini F, Onesto E, Bignamini M, Miceli V, Martini L, Poletti A.",Neurobiol Dis. 2009 Mar;33(3):395-404. doi: 10.1016/j.nbd.2008.11.007. Epub 2008 Dec 6.,12/23/2008,2008
1867,19171827,Effect of aerobic training in patients with spinal and bulbar muscular atrophy (Kennedy disease).,"Preisler N, Andersen G, Thøgersen F, Crone C, Jeppesen TD, Wibrand F, Vissing J.",Neurology. 2009 Jan 27;72(4):317-23. doi: 10.1212/01.wnl.0000341274.61236.02.,1/28/2009,2009
1871,19183265,HSP70 interacting protein prevents the accumulation of inclusions in polyglutamine disease.,"Howarth JL, Glover CP, Uney JB.",J Neurochem. 2009 Feb;108(4):945-951. doi: 10.1111/j.0022-3042.2008.05847.x.,2/3/2009,2009
1874,19187481,Decreased cortical somatosensory finger representation in X-linked recessive bulbospinal neuronopathy (Kennedy disease): a magnetoencephalographic study.,"Suntrup S, Kristina Teismann I, Steinstraeter O, Bernd Ringelstein E, Pantev C, Dziewas R.",J Neuroimaging. 2010 Jan;20(1):16-21. doi: 10.1111/j.1552-6569.2008.00335.x. Epub 2009 Jan 29.,2/4/2009,2009
1878,19192301,Amyotrophic lateral sclerosis.,"Wijesekera LC, Leigh PN.",Orphanet J Rare Dis. 2009 Feb 3;4:3. doi: 10.1186/1750-1172-4-3. Review.,2/5/2009,2009
1882,19211034,Recovery of function in a myogenic mouse model of spinal bulbar muscular atrophy.,"Johansen JA, Yu Z, Mo K, Monks DA, Lieberman AP, Breedlove SM, Jordan CL.",Neurobiol Dis. 2009 Apr;34(1):113-20. doi: 10.1016/j.nbd.2008.12.009. Epub 2008 Dec 31.,2/13/2009,2009
1885,19227892,[Two brothers with very late onset of muscle weakness in X-linked recessive spinal and bulbar muscular atrophy].,"Hemmi S, Inoue K, Kutoku Y, Rikimaru M, Murakami T, Sunada Y.",Rinsho Shinkeigaku. 2009 Jan;49(1):22-6. Japanese.,2/21/2009,2009
1889,19228953,Polyglutamine-expanded androgen receptor truncation fragments activate a Bax-dependent apoptotic cascade mediated by DP5/Hrk.,"Young JE, Garden GA, Martinez RA, Tanaka F, Sandoval CM, Smith AC, Sopher BL, Lin A, Fischbeck KH, Ellerby LM, Morrison RS, Taylor JP, La Spada AR.",J Neurosci. 2009 Feb 18;29(7):1987-97. doi: 10.1523/JNEUROSCI.4072-08.2009.,2/21/2009,2009
1893,19237573,Aberrant E2F activation by polyglutamine expansion of androgen receptor in SBMA neurotoxicity.,"Suzuki E, Zhao Y, Ito S, Sawatsubashi S, Murata T, Furutani T, Shirode Y, Yamagata K, Tanabe M, Kimura S, Ueda T, Fujiyama S, Lim J, Matsukawa H, Kouzmenko AP, Aigaki T, Tabata T, Takeyama K, Kato S.",Proc Natl Acad Sci U S A. 2009 Mar 10;106(10):3818-22. doi: 10.1073/pnas.0809819106. Epub 2009 Feb 23. Erratum in: Proc Natl Acad Sci U S A. 2012 Oct 2;109(40):16393.,2/25/2009,2009
1896,19247761,Case series: anesthetic management of patients with spinal and bulbar muscular atrophy (Kennedy's disease).,"Niesen AD, Sprung J, Prakash YS, Watson JC, Weingarten TN.",Can J Anaesth. 2009 Feb;56(2):136-41. doi: 10.1007/s12630-008-9018-1. Epub 2009 Jan 10.,2/28/2009,2009
1900,19259961,Anti-androgen treatment for spinal and bulbar muscular atrophy.,"Fischbeck KH, Bryan WW.",Ann Neurol. 2009 Feb;65(2):119-20. doi: 10.1002/ana.21633. No abstract available.,3/5/2009,2009
1903,19259967,Phase 2 trial of leuprorelin in patients with spinal and bulbar muscular atrophy.,"Banno H, Katsuno M, Suzuki K, Takeuchi Y, Kawashima M, Suga N, Takamori M, Ito M, Nakamura T, Matsuo K, Yamada S, Oki Y, Adachi H, Minamiyama M, Waza M, Atsuta N, Watanabe H, Fujimoto Y, Nakashima T, Tanaka F, Doyu M, Sobue G.",Ann Neurol. 2009 Feb;65(2):140-50. doi: 10.1002/ana.21540.,3/5/2009,2009
1907,19279159,Cytoplasmic retention of polyglutamine-expanded androgen receptor ameliorates disease via autophagy in a mouse model of spinal and bulbar muscular atrophy.,"Montie HL, Cho MS, Holder L, Liu Y, Tsvetkov AS, Finkbeiner S, Merry DE.",Hum Mol Genet. 2009 Jun 1;18(11):1937-50. doi: 10.1093/hmg/ddp115. Epub 2009 Mar 11.,3/13/2009,2009
1910,19306034,Quinine-responsive muscle cramps in X-linked bulbospinal muscular atrophy Kennedy.,"Finsterer J, Stöllberger C.",J Neurol. 2009 Aug;256(8):1355-6. doi: 10.1007/s00415-009-5101-y. Epub 2009 Mar 22. No abstract available.,3/24/2009,2009
1913,19343581,Are cognitive and behavioural deficits a part of the clinical picture in Kennedy's disease? A case study.,"Mirowska-Guzel D, Seniow J, Sułek A, Leśniak M, Członkowska A.",Neurocase. 2009 Aug;15(4):332-7. doi: 10.1080/13554790902842003. Epub 2009 Apr 2.,4/4/2009,2009
1916,19353225,Decreased brain activation to tongue movements in amyotrophic lateral sclerosis with bulbar involvement but not Kennedy syndrome.,"Mohammadi B, Kollewe K, Samii A, Krampfl K, Dengler R, Münte TF.",J Neurol. 2009 Aug;256(8):1263-9. doi: 10.1007/s00415-009-5112-8. Epub 2009 Apr 8.,4/9/2009,2009
1920,19399234,Neuropathology and therapeutic intervention in spinal and bulbar muscular atrophy.,"Banno H, Katsuno M, Suzuki K, Tanaka F, Sobue G.",Int J Mol Sci. 2009 Mar;10(3):1000-12. Epub 2009 Mar 10. Review.,4/29/2009,2009
1924,19398709,Abnormal eye movements in Kennedy disease.,"Thurtell MJ, Pioro EP, Leigh RJ.",Neurology. 2009 Apr 28;72(17):1528-30. doi: 10.1212/WNL.0b013e3181a2e936. No abstract available.,4/29/2009,2009
1927,19405197,Bulbar and spinal muscular atrophy (Kennedy's disease): a review.,Finsterer J.,Eur J Neurol. 2009 May;16(5):556-61. Review.,5/1/2009,2009
1930,19478672,Kennedy's disease and postoperative complications.,"Siddiqui FM, Slater R, Tandon P.",Eur J Anaesthesiol. 2009 Sep;26(9):803-4. doi: 10.1097/EJA.0b013e32832d6afe. No abstract available.,5/30/2009,2009
1933,19486304,Pathogenesis-targeting therapeutics for spinal and bulbar muscular atrophy (SBMA).,"Suzuki K, Kastuno M, Banno H, Sobue G.",Neuropathology. 2009 Aug;29(4):509-16. doi: 10.1111/j.1440-1789.2009.01013.x. Epub 2009 May 22. Review.,6/3/2009,2009
1937,19497852,Small ubiquitin-like modifier (SUMO) modification of the androgen receptor attenuates polyglutamine-mediated aggregation.,"Mukherjee S, Thomas M, Dadgar N, Lieberman AP, Iñiguez-Lluhí JA.",J Biol Chem. 2009 Aug 7;284(32):21296-306. doi: 10.1074/jbc.M109.011494. Epub 2009 Jun 4.,6/6/2009,2009
1940,19494733,What's in the Literature?,Simmons Z.,J Clin Neuromuscul Dis. 2009 Jun;10(4):202-7. doi: 10.1097/CND.0b013e3181a7b35f.,6/6/2009,2009
1943,19526244,Selective occurrence of TDP-43-immunoreactive inclusions in the lower motor neurons in Machado-Joseph disease.,"Tan CF, Yamada M, Toyoshima Y, Yokoseki A, Miki Y, Hoshi Y, Kaneko H, Ikeuchi T, Onodera O, Kakita A, Takahashi H.",Acta Neuropathol. 2009 Oct;118(4):553-60. doi: 10.1007/s00401-009-0552-x. Epub 2009 Jun 13.,6/16/2009,2009
1946,19533663,Serum creatine kinase levels in spinobulbar muscular atrophy and amyotrophic lateral sclerosis.,"Chahin N, Sorenson EJ.",Muscle Nerve. 2009 Jul;40(1):126-9. doi: 10.1002/mus.21310.,6/18/2009,2009
1949,19572162,Frontotemporal cognitive function in X-linked spinal and bulbar muscular atrophy (SBMA): a controlled neuropsychological study of 20 patients.,"Soukup GR, Sperfeld AD, Uttner I, Karitzky J, Ludolph AC, Kassubek J, Schreiber H.",J Neurol. 2009 Nov;256(11):1869-75. doi: 10.1007/s00415-009-5212-5. Epub 2009 Jul 2.,7/3/2009,2009
1952,19578869,Microtubule-dependent formation of the stigmoid body as a cytoplasmic inclusion distinct from pathological aggresomes.,"Fujinaga R, Takeshita Y, Uozumi K, Yanai A, Yoshioka K, Kokubu K, Shinoda K.",Histochem Cell Biol. 2009 Sep;132(3):305-18. doi: 10.1007/s00418-009-0618-9. Epub 2009 Jul 4.,7/7/2009,2009
1955,19576115,[The correlation of CAGs repeat size with age of onset in patients with Kennedy's disease].,"Lu M, Wang XZ, Zhang J, Zhao HY, Sun AP, Song LG, Fan DS.",Zhonghua Nei Ke Za Zhi. 2009 Apr;48(4):284-6. Chinese.,7/7/2009,2009
1958,19598137,[Diseases caused by triplet expansion].,"Rosales-Reynoso MA, Ochoa-Hernández AB, Barros-Núñez P.",Rev Neurol. 2009 Jul 16-31;49(2):79-87. Review. Spanish.,7/15/2009,2009
1961,19616433,Dysphagia in X-linked bulbospinal muscular atrophy (Kennedy disease).,"Warnecke T, Oelenberg S, Teismann I, Suntrup S, Hamacher C, Young P, Ringelstein EB, Dziewas R.",Neuromuscul Disord. 2009 Oct;19(10):704-8. doi: 10.1016/j.nmd.2009.06.371. Epub 2009 Jul 17.,7/21/2009,2009
1964,19623708,[A weak man... X chromosome associated progressive bulbospinal neuropathy (or bulbospinal amyotrophy) or Kennedy syndrome].,"Ricard D, Sallansonnet-Froment M, De Greslan T.","Rev Neurol (Paris). 2009 Feb;165 Spec No 1:F29, F31. French.  No abstract available.",7/23/2009,2009
1968,19670325,Standard and modified statistical MUNE evaluations in spinal-bulbar muscular atrophy.,"Lehky TJ, Chen CJ, di Prospero NA, Rhodes LE, Fischbeck K, Floeter MK.",Muscle Nerve. 2009 Nov;40(5):809-14. doi: 10.1002/mus.21399.,8/12/2009,2009
1971,19679066,IGF-1: elixir for motor neuron diseases.,"Papanikolaou T, Ellerby LM.",Neuron. 2009 Aug 13;63(3):277-8. doi: 10.1016/j.neuron.2009.07.024.,8/15/2009,2009
1975,19679072,Overexpression of IGF-1 in muscle attenuates disease in a mouse model of spinal and bulbar muscular atrophy.,"Palazzolo I, Stack C, Kong L, Musaro A, Adachi H, Katsuno M, Sobue G, Taylor JP, Sumner CJ, Fischbeck KH, Pennuto M.",Neuron. 2009 Aug 13;63(3):316-28. doi: 10.1016/j.neuron.2009.07.019.,8/15/2009,2009
1979,19692580,Altered RNA splicing contributes to skeletal muscle pathology in Kennedy disease knock-in mice.,"Yu Z, Wang AM, Robins DM, Lieberman AP.",Dis Model Mech. 2009 Sep-Oct;2(9-10):500-7. doi: 10.1242/dmm.003301. Epub 2009 Aug 19.,8/21/2009,2009
1982,19697878,[Molecular-targeted therapy for motor neuron disease].,"Banno H, Katsuno M, Suzuki K, Iguchi Y, Adachi H, Tanaka F, Sobue G.",Brain Nerve. 2009 Aug;61(8):891-900. Review. Japanese.,8/25/2009,2009
1985,19746452,Postural tremor in X-linked spinal and bulbar muscular atrophy.,"Hanajima R, Terao Y, Nakatani-Enomoto S, Hamada M, Yugeta A, Matsumoto H, Yamamoto T, Tsuji S, Ugawa Y.",Mov Disord. 2009 Oct 30;24(14):2063-9. doi: 10.1002/mds.22566.,9/12/2009,2009
1988,19770590,Autophagy and access: understanding the role of androgen receptor subcellular localization in SBMA.,"Montie HL, Merry DE.",Autophagy. 2009 Nov;5(8):1194-7. Epub 2009 Nov 3.,9/23/2009,2009
1991,19775935,Determinants of double discharges in amyotrophic lateral sclerosis and Kennedy disease.,"Weber M, Ferreira V, Eisen A.",Clin Neurophysiol. 2009 Nov;120(11):1971-7. doi: 10.1016/j.clinph.2009.08.011. Epub 2009 Sep 22.,9/25/2009,2009
1995,19805156,Triplet repeat length bias and variation in the human transcriptome.,"Molla M, Delcher A, Sunyaev S, Cantor C, Kasif S.",Proc Natl Acad Sci U S A. 2009 Oct 6;106(40):17095-100. doi: 10.1073/pnas.0907112106. Epub 2009 Sep 17.,10/7/2009,2009
1999,19846582,Clinical features of spinal and bulbar muscular atrophy.,"Rhodes LE, Freeman BK, Auh S, Kokkinis AD, La Pean A, Chen C, Lehky TJ, Shrader JA, Levy EW, Harris-Love M, Di Prospero NA, Fischbeck KH.",Brain. 2009 Dec;132(Pt 12):3242-51. doi: 10.1093/brain/awp258. Epub .,10/23/2009,2009
2002,19959826,Roles of androgen receptor in male and female reproduction: lessons from global and cell-specific androgen receptor knockout (ARKO) mice.,Zhou X.,J Androl. 2010 May-Jun;31(3):235-43. doi: 10.2164/jandrol.109.009266. Epub 2009 Dec 3. Review.,12/5/2009,2009
2005,19965845,The profile of motor unit number estimation (MUNE) in spinal and bulbar muscular atrophy.,"Suzuki K, Katsuno M, Banno H, Takeuchi Y, Kawashima M, Suga N, Hashizume A, Hama T, Uchida K, Yamashita F, Nakamura T, Hirayama M, Tanaka F, Sobue G.",J Neurol Neurosurg Psychiatry. 2010 May;81(5):567-71. doi: 10.1136/jnnp.2009.190462. Epub 2009 Dec 3.,12/8/2009,2009
2008,20030200,[Molecular-targeted therapy for neurodegenerative diseases].,Sobue G.,Rinsho Shinkeigaku. 2009 Nov;49(11):747-9. Review. Japanese.,12/25/2009,2009
2011,20030248,[Molecular-targeted therapies for spinal and bulbar muscular atrophy].,"Katsuno M, Banno H, Suzuki K, Adachi H, Tanaka F, Sobue G.",Rinsho Shinkeigaku. 2009 Nov;49(11):917-20. Review. Japanese.,12/25/2009,2009
2014,20030195,[The Japanese Society of Neurology. In commemoration of the 50th anniversary of the founding].,Takahashi A.,Rinsho Shinkeigaku. 2009 Nov;49(11):724-30. Japanese.,12/25/2009,2009
2017,20035733,Mitochondrial DNA damage in spinal and bulbar muscular atrophy patients and carriers.,"Su S, Jou S, Cheng W, Lin T, Li J, Huang C, Lee Y, Soong B, Liu C.",Clin Chim Acta. 2010 May 2;411(9-10):626-30. doi: 10.1016/j.cca.2009.12.007. Epub 2009 Dec 24.,12/29/2009,2009
2021,20140226,F-actin binding regions on the androgen receptor and huntingtin increase aggregation and alter aggregate characteristics.,"Angeli S, Shao J, Diamond MI.",PLoS One. 2010 Feb 4;5(2):e9053. doi: 10.1371/journal.pone.0009053.,2/9/2010,2010
2024,20184516,Phenotypic differences in a large family with Kennedy's disease from the Middle Black Sea region of Turkey.,"Karaer H, Kaplan Y, Kurt S, Gundogdu A, Erdoğan B, Başak NA.",Amyotroph Lateral Scler. 2010;11(1-2):148-53. doi: 10.3109/17482960802445086.,2/27/2010,2010
2027,20299163,[Neurodegenerative polyglutamine expansion diseases: physiopathology and therapeutic strategies].,"Ravache M, Abou-Sleymane G, Trottier Y.",Pathol Biol (Paris). 2010 Oct;58(5):357-66. doi: 10.1016/j.patbio.2009.12.004. Epub 2010 Mar 29. Review. French.,3/20/2010,2010
2030,20301508,Spinal and Bulbar Muscular Atrophy.,La Spada A.,"1999 Feb 26 [updated 2014 Jul 03]. In: Pagon RA, Adam MP, Ardinger HH, Wallace SE, Amemiya A, Bean LJH, Bird TD, Fong CT, Mefford HC, Smith RJH, Stephens K, editors. GeneReviews(®) [Internet]. Seattle (WA): University of Washington, Seattle; 1993-2016.",3/20/2010,2010
2033,20235485,[Two cases of familial amyotrophic lateral sclerosis with a SOD1L126S mutation showing high age at onset and slow progression].,"Iwashima T, Tateishi T, Yamasaki R, Motomura K, Ohyagi Y, Kira J.",Rinsho Shinkeigaku. 2010 Mar;50(3):163-7. Review. Japanese.,3/20/2010,2010
2037,20329357,Flightless flies: Drosophila models of neuromuscular disease.,"Lloyd TE, Taylor JP.",Ann N Y Acad Sci. 2010 Jan;1184:e1-20. Review.,3/25/2010,2010
2040,20333954,[Ending up in a wheelchair in a strange way].,"Verkleij LM, van de Ven AL, Wohlgemuth M, Kruyt FA.",Tijdschr Gerontol Geriatr. 2010 Feb;41(1):27-31. Dutch.,3/26/2010,2010
2043,20336652,Whole brain-based analysis of regional white matter tract alterations in rare motor neuron diseases by diffusion tensor imaging.,"Unrath A, Müller HP, Riecker A, Ludolph AC, Sperfeld AD, Kassubek J.",Hum Brain Mapp. 2010 Nov;31(11):1727-40. doi: 10.1002/hbm.20971.,3/26/2010,2010
2047,20336775,B2 attenuates polyglutamine-expanded androgen receptor toxicity in cell and fly models of spinal and bulbar muscular atrophy.,"Palazzolo I, Nedelsky NB, Askew CE, Harmison GG, Kasantsev AG, Taylor JP, Fischbeck KH, Pennuto M.",J Neurosci Res. 2010 Aug 1;88(10):2207-16. doi: 10.1002/jnr.22389.,3/26/2010,2010
